Country,Year,LCC
128,2013,FALSE
129,2013,
130,2013,FALSE
131,2013,
132,2013,FALSE
133,2013,FALSE
134,2013,FALSE
135,2013,FALSE
136,2013,
137,2013,FALSE
138,2013,TRUE
139,2013,TRUE
140,2013,FALSE
141,2013,
142,2013,TRUE
143,2013,
144,2013,FALSE
145,2013,
146,2013,FALSE
147,2013,FALSE
148,2013,TRUE
149,2013,TRUE
150,2013,
151,2013,
152,2013,
153,2013,FALSE
154,2013,FALSE
155,2013,TRUE
156,2013,
157,2013,FALSE
158,2013,FALSE
159,2013,
160,2013,FALSE
161,2013,FALSE
162,2013,FALSE
163,2013,FALSE
164,2013,FALSE
165,2013,
166,2013,FALSE
167,2013,FALSE
168,2013,FALSE
169,2013,TRUE
170,2013,
171,2013,
172,2013,
173,2013,FALSE
174,2013,TRUE
175,2013,FALSE
176,2013,FALSE
177,2013,
178,2013,FALSE
179,2013,FALSE
180,2013,FALSE
181,2013,TRUE
182,2013,
183,2013,FALSE
184,2013,
185,2013,FALSE
186,2013,FALSE
187,2013,
188,2013,FALSE
189,2013,FALSE
190,2013,
191,2013,FALSE
192,2013,FALSE
193,2013,FALSE
194,2013,TRUE
195,2013,FALSE
196,2013,FALSE
197,2013,FALSE
198,2013,
199,2013,
200,2013,TRUE
201,2013,FALSE
202,2013,FALSE
203,2013,
204,2013,
205,2013,
206,2013,
207,2013,FALSE
208,2013,FALSE
209,2013,FALSE
210,2013,
211,2013,
212,2013,
213,2013,TRUE
214,2013,FALSE
215,2013,FALSE
216,2013,FALSE
217,2013,FALSE
218,2013,FALSE
219,2013,FALSE
220,2013,
221,2013,
222,2013,FALSE
223,2013,FALSE
224,2013,
225,2013,
226,2013,TRUE
227,2013,TRUE
228,2013,FALSE
1,2012,TRUE
2,2012,FALSE
3,2012,FALSE
4,2012,
5,2012,FALSE
6,2012,TRUE
7,2012,
8,2012,FALSE
9,2012,FALSE
10,2012,FALSE
11,2012,
12,2012,
13,2012,FALSE
14,2012,FALSE
15,2012,FALSE
16,2012,
17,2012,FALSE
18,2012,TRUE
19,2012,FALSE
20,2012,FALSE
21,2012,FALSE
22,2012,
23,2012,TRUE
24,2012,
25,2012,TRUE
26,2012,FALSE
27,2012,FALSE
28,2012,FALSE
29,2012,FALSE
30,2012,
31,2012,FALSE
32,2012,FALSE
33,2012,TRUE
34,2012,
35,2012,TRUE
36,2012,TRUE
37,2012,FALSE
38,2012,FALSE
39,2012,
40,2012,TRUE
41,2012,TRUE
42,2012,FALSE
43,2012,FALSE
44,2012,
45,2012,FALSE
46,2012,
47,2012,TRUE
48,2012,TRUE
49,2012,FALSE
50,2012,TRUE
51,2012,FALSE
52,2012,FALSE
53,2012,FALSE
54,2012,FALSE
55,2012,
56,2012,FALSE
57,2012,TRUE
