,Country,Year,LCC
272,44,2013,NULL
273,45,2013,FALSE
274,46,2013,NULL
275,47,2013,TRUE
276,48,2013,TRUE
277,49,2013,FALSE
278,50,2013,TRUE
279,51,2013,FALSE
280,52,2013,TRUE
281,53,2013,FALSE
282,54,2013,FALSE
283,55,2013,NULL
284,56,2013,FALSE
285,57,2013,TRUE
286,58,2013,FALSE
287,59,2013,FALSE
288,60,2013,FALSE
289,61,2013,FALSE
290,62,2013,FALSE
291,63,2013,NULL
292,64,2013,TRUE
293,65,2013,FALSE
294,66,2013,TRUE
295,67,2013,NULL
296,68,2013,NULL
297,69,2013,FALSE
298,70,2013,FALSE
299,71,2013,FALSE
300,72,2013,NULL
301,73,2013,TRUE
302,74,2013,TRUE
303,75,2013,FALSE
304,76,2013,FALSE
305,77,2013,FALSE
306,78,2013,NULL
307,79,2013,FALSE
308,80,2013,NULL
309,81,2013,FALSE
310,82,2013,NULL
311,83,2013,FALSE
312,84,2013,NULL
313,85,2013,TRUE
314,86,2013,TRUE
315,87,2013,FALSE
316,88,2013,NULL
317,89,2013,FALSE
318,90,2013,FALSE
319,91,2013,FALSE
320,92,2013,FALSE
321,93,2013,TRUE
322,94,2013,FALSE
323,95,2013,FALSE
324,96,2013,NULL
325,97,2013,FALSE
326,98,2013,FALSE
327,99,2013,FALSE
328,100,2013,FALSE
329,101,2013,FALSE
330,102,2013,NULL
331,103,2013,FALSE
332,104,2013,FALSE
333,105,2013,FALSE
334,106,2013,NULL
335,107,2013,FALSE
336,108,2013,NULL
337,109,2013,FALSE
338,110,2013,TRUE
339,111,2013,FALSE
340,112,2013,FALSE
341,113,2013,TRUE
342,114,2013,TRUE
343,115,2013,NULL
344,116,2013,NULL
345,117,2013,FALSE
346,118,2013,FALSE
347,119,2013,FALSE
348,120,2013,TRUE
349,121,2013,TRUE
350,122,2013,FALSE
351,123,2013,FALSE
352,124,2013,TRUE
353,125,2013,FALSE
354,126,2013,NULL
355,127,2013,TRUE
356,128,2013,FALSE
357,129,2013,NULL
358,130,2013,FALSE
359,131,2013,NULL
360,132,2013,FALSE
361,133,2013,FALSE
362,134,2013,FALSE
363,135,2013,FALSE
364,136,2013,NULL
365,137,2013,FALSE
366,138,2013,TRUE
367,139,2013,TRUE
368,140,2013,FALSE
369,141,2013,NULL
370,142,2013,TRUE
371,143,2013,NULL
372,144,2013,FALSE
373,145,2013,NULL
374,146,2013,FALSE
375,147,2013,FALSE
376,148,2013,TRUE
377,149,2013,TRUE
378,150,2013,NULL
379,151,2013,NULL
380,152,2013,NULL
381,153,2013,FALSE
382,154,2013,FALSE
383,155,2013,TRUE
384,156,2013,NULL
385,157,2013,FALSE
386,158,2013,FALSE
387,159,2013,NULL
388,160,2013,FALSE
389,161,2013,FALSE
390,162,2013,FALSE
391,163,2013,FALSE
392,164,2013,FALSE
393,165,2013,NULL
394,166,2013,FALSE
395,167,2013,FALSE
396,168,2013,FALSE
397,169,2013,TRUE
398,170,2013,NULL
399,171,2013,NULL
400,172,2013,NULL
401,173,2013,FALSE
402,174,2013,TRUE
403,175,2013,FALSE
404,176,2013,FALSE
405,177,2013,NULL
406,178,2013,FALSE
407,179,2013,FALSE
408,180,2013,FALSE
409,181,2013,TRUE
410,182,2013,NULL
411,183,2013,FALSE
412,184,2013,NULL
413,185,2013,FALSE
414,186,2013,FALSE
415,187,2013,NULL
416,188,2013,FALSE
417,189,2013,FALSE
418,190,2013,NULL
419,191,2013,FALSE
420,192,2013,FALSE
421,193,2013,FALSE
422,194,2013,TRUE
423,195,2013,FALSE
424,196,2013,FALSE
425,197,2013,FALSE
426,198,2013,NULL
427,199,2013,NULL
428,200,2013,TRUE
429,201,2013,FALSE
430,202,2013,FALSE
431,203,2013,NULL
432,204,2013,NULL
433,205,2013,NULL
434,206,2013,NULL
435,207,2013,FALSE
436,208,2013,FALSE
437,209,2013,FALSE
438,210,2013,NULL
439,211,2013,NULL
440,212,2013,NULL
441,213,2013,TRUE
442,214,2013,FALSE
443,215,2013,FALSE
444,216,2013,FALSE
445,217,2013,FALSE
446,218,2013,FALSE
447,219,2013,FALSE
448,220,2013,NULL
449,221,2013,NULL
450,222,2013,FALSE
451,223,2013,FALSE
452,224,2013,NULL
453,225,2013,NULL
454,226,2013,TRUE
455,227,2013,TRUE
456,228,2013,FALSE
457,1,2012,TRUE
458,2,2012,FALSE
459,3,2012,FALSE
460,4,2012,NULL
461,5,2012,FALSE
462,6,2012,TRUE
463,7,2012,NULL
464,8,2012,FALSE
465,9,2012,FALSE
466,10,2012,FALSE
467,11,2012,NULL
468,12,2012,NULL
469,13,2012,FALSE
470,14,2012,FALSE
471,15,2012,FALSE
472,16,2012,NULL
473,17,2012,FALSE
474,18,2012,TRUE
475,19,2012,FALSE
476,20,2012,FALSE
477,21,2012,FALSE
478,22,2012,NULL
479,23,2012,TRUE
480,24,2012,NULL
481,25,2012,TRUE
482,26,2012,FALSE
483,27,2012,FALSE
484,28,2012,FALSE
485,29,2012,FALSE
486,30,2012,NULL
487,31,2012,FALSE
488,32,2012,FALSE
489,33,2012,TRUE
490,34,2012,NULL
491,35,2012,TRUE
492,36,2012,TRUE
493,37,2012,FALSE
494,38,2012,FALSE
495,39,2012,NULL
496,40,2012,TRUE
497,41,2012,TRUE
498,42,2012,FALSE
499,43,2012,FALSE
500,44,2012,NULL
501,45,2012,FALSE
502,46,2012,NULL
503,47,2012,TRUE
504,48,2012,TRUE
505,49,2012,FALSE
506,50,2012,TRUE
507,51,2012,FALSE
508,52,2012,FALSE
509,53,2012,FALSE
510,54,2012,FALSE
511,55,2012,NULL
512,56,2012,FALSE
513,57,2012,TRUE
514,58,2012,FALSE
515,59,2012,FALSE
516,60,2012,FALSE
517,61,2012,FALSE
518,62,2012,FALSE
519,63,2012,NULL
520,64,2012,TRUE
521,65,2012,FALSE
522,66,2012,TRUE
523,67,2012,NULL
524,68,2012,NULL
525,69,2012,FALSE
526,70,2012,FALSE
527,71,2012,FALSE
528,72,2012,NULL
529,73,2012,TRUE
530,74,2012,TRUE
531,75,2012,FALSE
532,76,2012,FALSE
533,77,2012,FALSE
534,78,2012,NULL
535,79,2012,FALSE
536,80,2012,NULL
537,81,2012,FALSE
538,82,2012,NULL
539,83,2012,FALSE
540,84,2012,NULL
541,85,2012,TRUE
542,86,2012,TRUE
543,87,2012,FALSE
544,88,2012,NULL
545,89,2012,FALSE
546,90,2012,FALSE
547,91,2012,FALSE
548,92,2012,FALSE
549,93,2012,TRUE
550,94,2012,FALSE
551,95,2012,FALSE
552,96,2012,NULL
553,97,2012,FALSE
554,98,2012,FALSE
555,99,2012,FALSE
556,100,2012,FALSE
557,101,2012,FALSE
558,102,2012,NULL
559,103,2012,FALSE
560,104,2012,FALSE
561,105,2012,FALSE
562,106,2012,NULL
563,107,2012,FALSE
564,108,2012,NULL
565,109,2012,FALSE
566,110,2012,TRUE
567,111,2012,FALSE
568,112,2012,FALSE
569,113,2012,TRUE
570,114,2012,TRUE
571,115,2012,NULL
572,116,2012,NULL
573,117,2012,FALSE
574,118,2012,FALSE
575,119,2012,FALSE
576,120,2012,TRUE
577,121,2012,TRUE
578,122,2012,FALSE
579,123,2012,FALSE
580,124,2012,TRUE
581,125,2012,FALSE
582,126,2012,NULL
583,127,2012,TRUE
584,128,2012,FALSE
585,129,2012,NULL
586,130,2012,FALSE
587,131,2012,NULL
588,132,2012,FALSE
589,133,2012,FALSE
590,134,2012,FALSE
591,135,2012,FALSE
592,136,2012,NULL
593,137,2012,FALSE
594,138,2012,TRUE
595,139,2012,TRUE
596,140,2012,FALSE
597,141,2012,NULL
598,142,2012,TRUE
599,143,2012,NULL
600,144,2012,FALSE
601,145,2012,NULL
602,146,2012,FALSE
603,147,2012,FALSE
604,148,2012,TRUE
605,149,2012,TRUE
606,150,2012,NULL
607,151,2012,NULL
608,152,2012,NULL
609,153,2012,FALSE
610,154,2012,FALSE
611,155,2012,TRUE
612,156,2012,NULL
613,157,2012,FALSE
614,158,2012,FALSE
615,159,2012,NULL
616,160,2012,FALSE
617,161,2012,FALSE
618,162,2012,FALSE
619,163,2012,FALSE
620,164,2012,FALSE
621,165,2012,NULL
622,166,2012,FALSE
623,167,2012,FALSE
624,168,2012,FALSE
625,169,2012,TRUE
626,170,2012,NULL
627,171,2012,NULL
628,172,2012,NULL
629,173,2012,FALSE
630,174,2012,TRUE
631,175,2012,FALSE
632,176,2012,FALSE
633,177,2012,NULL
634,178,2012,FALSE
635,179,2012,FALSE
636,180,2012,FALSE
637,181,2012,TRUE
638,182,2012,NULL
639,183,2012,FALSE
640,184,2012,NULL
641,185,2012,FALSE
642,186,2012,FALSE
643,187,2012,NULL
644,188,2012,FALSE
645,189,2012,FALSE
646,190,2012,NULL
647,191,2012,FALSE
648,192,2012,FALSE
649,193,2012,FALSE
650,194,2012,TRUE
651,195,2012,FALSE
652,196,2012,FALSE
653,197,2012,FALSE
654,198,2012,NULL
655,199,2012,NULL
656,200,2012,TRUE
657,201,2012,FALSE
658,202,2012,FALSE
659,203,2012,NULL
660,204,2012,NULL
661,205,2012,NULL
662,206,2012,NULL
663,207,2012,FALSE
664,208,2012,FALSE
665,209,2012,FALSE
666,210,2012,NULL
667,211,2012,NULL
668,212,2012,NULL
669,213,2012,TRUE
670,214,2012,FALSE
671,215,2012,FALSE
672,216,2012,FALSE
673,217,2012,FALSE
674,218,2012,FALSE
675,219,2012,FALSE
676,220,2012,NULL
677,221,2012,NULL
678,222,2012,FALSE
679,223,2012,FALSE
680,224,2012,NULL
681,225,2012,NULL
682,226,2012,TRUE
683,227,2012,TRUE
684,228,2012,FALSE
685,1,2011,NULL
686,2,2011,FALSE
687,3,2011,FALSE
688,4,2011,NULL
689,5,2011,NULL
690,6,2011,TRUE
691,7,2011,NULL
692,8,2011,FALSE
693,9,2011,FALSE
694,10,2011,FALSE
695,11,2011,NULL
696,12,2011,NULL
697,13,2011,FALSE
698,14,2011,FALSE
699,15,2011,FALSE
700,16,2011,NULL
701,17,2011,FALSE
702,18,2011,TRUE
703,19,2011,FALSE
704,20,2011,FALSE
705,21,2011,FALSE
706,22,2011,NULL
707,23,2011,TRUE
708,24,2011,NULL
709,25,2011,FALSE
710,26,2011,FALSE
711,27,2011,FALSE
712,28,2011,FALSE
713,29,2011,FALSE
714,30,2011,NULL
715,31,2011,FALSE
716,32,2011,FALSE
717,33,2011,TRUE
718,34,2011,NULL
719,35,2011,TRUE
720,36,2011,TRUE
721,37,2011,FALSE
722,38,2011,FALSE
723,39,2011,NULL
724,40,2011,TRUE
725,41,2011,TRUE
726,42,2011,FALSE
727,43,2011,FALSE
728,44,2011,NULL
729,45,2011,FALSE
730,46,2011,TRUE
731,47,2011,TRUE
732,48,2011,TRUE
733,49,2011,FALSE
734,50,2011,TRUE
735,51,2011,FALSE
736,52,2011,FALSE
737,53,2011,FALSE
738,54,2011,FALSE
739,55,2011,NULL
740,56,2011,FALSE
741,57,2011,TRUE
742,58,2011,NULL
743,59,2011,FALSE
744,60,2011,FALSE
745,61,2011,FALSE
746,62,2011,FALSE
747,63,2011,NULL
748,64,2011,TRUE
749,65,2011,FALSE
750,66,2011,TRUE
751,67,2011,NULL
752,68,2011,NULL
753,69,2011,FALSE
754,70,2011,FALSE
755,71,2011,FALSE
756,72,2011,NULL
757,73,2011,FALSE
758,74,2011,TRUE
759,75,2011,FALSE
760,76,2011,FALSE
761,77,2011,FALSE
762,78,2011,NULL
763,79,2011,FALSE
764,80,2011,NULL
765,81,2011,NULL
766,82,2011,NULL
767,83,2011,NULL
768,84,2011,NULL
769,85,2011,TRUE
770,86,2011,TRUE
771,87,2011,FALSE
772,88,2011,NULL
773,89,2011,FALSE
774,90,2011,FALSE
775,91,2011,FALSE
776,92,2011,FALSE
777,93,2011,TRUE
778,94,2011,FALSE
779,95,2011,FALSE
780,96,2011,NULL
781,97,2011,FALSE
782,98,2011,FALSE
783,99,2011,FALSE
784,100,2011,FALSE
785,101,2011,FALSE
786,102,2011,NULL
787,103,2011,FALSE
788,104,2011,FALSE
789,105,2011,FALSE
790,106,2011,NULL
791,107,2011,FALSE
792,108,2011,NULL
793,109,2011,NULL
794,110,2011,TRUE
795,111,2011,FALSE
796,112,2011,FALSE
797,113,2011,TRUE
798,114,2011,TRUE
799,115,2011,NULL
800,116,2011,NULL
801,117,2011,FALSE
802,118,2011,FALSE
803,119,2011,FALSE
804,120,2011,TRUE
805,121,2011,TRUE
806,122,2011,FALSE
807,123,2011,FALSE
808,124,2011,TRUE
809,125,2011,FALSE
810,126,2011,NULL
811,127,2011,TRUE
812,128,2011,FALSE
813,129,2011,NULL
814,130,2011,FALSE
815,131,2011,NULL
816,132,2011,FALSE
817,133,2011,NULL
818,134,2011,FALSE
819,135,2011,NULL
820,136,2011,NULL
821,137,2011,FALSE
822,138,2011,TRUE
823,139,2011,TRUE
824,140,2011,FALSE
825,141,2011,NULL
826,142,2011,NULL
827,143,2011,NULL
828,144,2011,FALSE
829,145,2011,NULL
830,146,2011,FALSE
831,147,2011,FALSE
832,148,2011,TRUE
833,149,2011,TRUE
834,150,2011,NULL
835,151,2011,NULL
836,152,2011,NULL
837,153,2011,FALSE
838,154,2011,FALSE
839,155,2011,TRUE
840,156,2011,NULL
841,157,2011,NULL
842,158,2011,FALSE
843,159,2011,NULL
844,160,2011,FALSE
845,161,2011,FALSE
846,162,2011,FALSE
847,163,2011,FALSE
848,164,2011,FALSE
849,165,2011,NULL
850,166,2011,FALSE
851,167,2011,FALSE
852,168,2011,FALSE
853,169,2011,TRUE
854,170,2011,NULL
855,171,2011,NULL
856,172,2011,NULL
857,173,2011,FALSE
858,174,2011,TRUE
859,175,2011,FALSE
860,176,2011,FALSE
861,177,2011,NULL
862,178,2011,FALSE
863,179,2011,FALSE
864,180,2011,FALSE
865,181,2011,TRUE
866,182,2011,NULL
867,183,2011,FALSE
868,184,2011,NULL
869,185,2011,FALSE
870,186,2011,FALSE
871,187,2011,NULL
872,188,2011,NULL
873,189,2011,FALSE
874,190,2011,NULL
875,191,2011,FALSE
876,192,2011,FALSE
877,193,2011,FALSE
878,194,2011,FALSE
879,195,2011,FALSE
880,196,2011,FALSE
881,197,2011,FALSE
882,198,2011,NULL
883,199,2011,NULL
884,200,2011,TRUE
885,201,2011,FALSE
886,202,2011,FALSE
887,203,2011,NULL
888,204,2011,NULL
889,205,2011,NULL
890,206,2011,FALSE
891,207,2011,FALSE
892,208,2011,FALSE
893,209,2011,FALSE
894,210,2011,NULL
895,211,2011,NULL
896,212,2011,NULL
897,213,2011,TRUE
898,214,2011,FALSE
899,215,2011,FALSE
900,216,2011,FALSE
901,217,2011,FALSE
902,218,2011,FALSE
903,219,2011,FALSE
904,220,2011,NULL
905,221,2011,NULL
906,222,2011,FALSE
907,223,2011,FALSE
908,224,2011,NULL
909,225,2011,NULL
910,226,2011,TRUE
911,227,2011,TRUE
912,228,2011,TRUE
913,1,2010,TRUE
914,2,2010,FALSE
915,3,2010,FALSE
916,4,2010,NULL
917,5,2010,FALSE
918,6,2010,TRUE
919,7,2010,NULL
920,8,2010,FALSE
921,9,2010,FALSE
922,10,2010,FALSE
923,11,2010,NULL
924,12,2010,NULL
925,13,2010,FALSE
926,14,2010,FALSE
927,15,2010,FALSE
928,16,2010,NULL
929,17,2010,FALSE
930,18,2010,TRUE
931,19,2010,FALSE
932,20,2010,FALSE
933,21,2010,FALSE
934,22,2010,FALSE
935,23,2010,TRUE
936,24,2010,NULL
937,25,2010,TRUE
938,26,2010,FALSE
939,27,2010,FALSE
940,28,2010,FALSE
941,29,2010,FALSE
942,30,2010,NULL
943,31,2010,FALSE
944,32,2010,FALSE
