"CountryCode","Year","LCC","estimate"
51,2008,0,0
51,2010,0,0
51,2011,0,0
51,2012,0,0
51,2013,0,0
51,2014,0,0
52,2008,0,0
52,2010,0,0
52,2011,0,0
52,2012,0,0
52,2013,1,0
52,2014,1,0
53,2008,0,0
53,2010,0,0
53,2011,0,0
53,2012,0,0
53,2013,0,0
53,2014,0,0
54,2008,0,0
54,2010,0,0
54,2011,0,0
54,2012,0,0
54,2013,0,0
54,2014,0,0
55,2008,NA,1
55,2010,NA,1
55,2011,NA,1
55,2012,NA,1
55,2013,NA,1
55,2014,NA,1
56,2008,0,0
56,2010,0,0
56,2011,0,0
56,2012,0,0
56,2013,0,0
56,2014,0,0
57,2008,1,0
57,2010,1,0
57,2011,1,0
57,2012,1,0
57,2013,1,0
57,2014,1,0
58,2008,NA,1
58,2010,0,0
58,2011,NA,1
58,2012,0,0
58,2013,0,0
58,2014,0,0
59,2008,0,0
59,2010,0,0
59,2011,0,0
59,2012,0,0
59,2013,0,0
59,2014,0,0
60,2008,0,0
60,2010,0,0
60,2011,0,0
60,2012,0,0
60,2013,0,0
60,2014,0,0
61,2008,0,0
61,2010,0,0
61,2011,0,0
61,2012,0,0
61,2013,0,0
61,2014,0,0
62,2008,0,0
62,2010,0,0
62,2011,0,0
62,2012,0,0
62,2013,0,0
62,2014,0,0
63,2008,NA,1
63,2010,1,0
63,2011,NA,1
63,2012,NA,1
63,2013,NA,1
63,2014,1,0
64,2008,1,0
64,2010,1,0
64,2011,1,0
64,2012,1,0
64,2013,1,0
64,2014,1,0
65,2008,0,0
65,2010,0,0
65,2011,0,0
65,2012,0,0
65,2013,0,0
65,2014,0,0
66,2008,1,0
66,2010,1,0
66,2011,1,0
66,2012,1,0
66,2013,1,0
66,2014,1,0
67,2008,NA,1
67,2010,NA,1
67,2011,NA,1
67,2012,NA,1
67,2013,NA,1
67,2014,NA,1
68,2008,NA,1
68,2010,NA,1
68,2011,NA,1
68,2012,NA,1
68,2013,NA,1
68,2014,NA,1
69,2008,0,0
69,2010,0,0
69,2011,0,0
69,2012,0,0
69,2013,0,0
69,2014,0,0
70,2008,0,0
70,2010,0,0
70,2011,0,0
70,2012,0,0
70,2013,0,0
70,2014,0,0
71,2008,0,0
71,2010,0,0
71,2011,0,0
71,2012,0,0
71,2013,0,0
71,2014,0,0
72,2008,NA,1
72,2010,NA,1
72,2011,NA,1
72,2012,NA,1
72,2013,NA,1
72,2014,0,1
73,2008,0,0
73,2010,0,0
73,2011,0,0
73,2012,1,0
73,2013,1,0
73,2014,1,0
74,2008,1,0
74,2010,1,0
74,2011,1,0
74,2012,1,0
74,2013,1,0
74,2014,1,0
75,2008,0,0
75,2010,0,0
75,2011,0,0
75,2012,0,0
75,2013,0,0
75,2014,0,0
76,2008,0,0
76,2010,0,0
76,2011,0,0
76,2012,0,0
76,2013,0,0
76,2014,0,0
77,2008,1,0
77,2010,1,0
77,2011,0,0
77,2012,0,0
77,2013,0,0
77,2014,0,0
78,2008,NA,1
78,2010,NA,1
78,2011,NA,1
78,2012,NA,1
78,2013,NA,1
78,2014,NA,1
79,2008,0,0
79,2010,0,0
79,2011,0,0
79,2012,0,0
79,2013,0,0
79,2014,0,0
80,2008,NA,1
80,2010,NA,1
80,2011,NA,1
80,2012,NA,1
80,2013,NA,1
80,2014,NA,1
81,2008,NA,1
81,2010,0,0
81,2011,NA,1
81,2012,0,0
81,2013,0,0
81,2014,0,0
82,2008,NA,1
82,2010,NA,1
82,2011,NA,1
82,2012,NA,1
82,2013,NA,1
82,2014,NA,1
83,2008,0,0
83,2010,0,0
83,2011,NA,1
83,2012,0,0
83,2013,0,0
83,2014,0,0
84,2008,NA,1
84,2010,NA,1
84,2011,NA,1
84,2012,NA,1
84,2013,NA,1
84,2014,NA,1
85,2008,1,0
85,2010,NA,1
85,2011,1,0
85,2012,1,0
85,2013,1,0
85,2014,1,1
86,2008,NA,1
86,2010,1,0
86,2011,1,0
86,2012,1,0
86,2013,1,0
86,2014,1,0
87,2008,0,0
87,2010,0,0
87,2011,0,0
87,2012,0,0
87,2013,0,0
87,2014,0,0
88,2008,NA,1
88,2010,NA,1
88,2011,NA,1
88,2012,NA,1
88,2013,NA,1
88,2014,1,1
89,2008,0,0
89,2010,0,0
89,2011,0,0
89,2012,0,0
89,2013,0,0
89,2014,0,0
90,2008,0,0
90,2010,0,0
90,2011,0,0
90,2012,0,0
90,2013,0,0
90,2014,0,0
91,2008,0,0
91,2010,0,0
91,2011,0,0
91,2012,0,0
91,2013,0,0
91,2014,0,0
92,2008,0,0
92,2010,0,0
92,2011,0,0
92,2012,0,0
92,2013,0,0
92,2014,0,0
93,2008,1,0
93,2010,0,0
93,2011,1,0
93,2012,1,0
93,2013,1,0
93,2014,1,0
94,2008,0,0
94,2010,0,0
94,2011,0,0
94,2012,0,0
94,2013,0,0
94,2014,0,0
95,2008,0,0
95,2010,0,0
95,2011,0,0
95,2012,0,0
95,2013,0,0
95,2014,0,0
96,2008,NA,1
96,2010,NA,1
96,2011,NA,1
96,2012,NA,1
96,2013,NA,1
96,2014,1,1
97,2008,0,0
97,2010,0,0
97,2011,0,0
97,2012,0,0
97,2013,0,0
97,2014,0,0
98,2008,0,0
98,2010,0,0
98,2011,0,0
98,2012,0,0
98,2013,0,0
98,2014,0,0
99,2008,0,0
99,2010,0,0
99,2011,0,0
99,2012,0,0
99,2013,0,0
99,2014,0,0
100,2008,0,0
100,2010,0,0
100,2011,0,0
100,2012,0,0
100,2013,0,0
100,2014,0,0
101,2008,0,0
101,2010,0,0
101,2011,0,0
101,2012,0,0
101,2013,0,0
101,2014,0,0
102,2008,NA,1
102,2010,NA,1
102,2011,NA,1
102,2012,NA,1
102,2013,NA,1
102,2014,NA,1
103,2008,0,0
103,2010,0,0
103,2011,0,0
103,2012,0,0
103,2013,0,0
103,2014,0,0
104,2008,0,0
104,2010,0,0
104,2011,0,0
104,2012,0,0
104,2013,0,0
104,2014,0,0
105,2008,1,0
105,2010,1,0
105,2011,0,0
105,2012,0,0
105,2013,0,0
105,2014,0,0
106,2008,NA,1
106,2010,NA,1
106,2011,NA,1
106,2012,NA,1
106,2013,NA,1
106,2014,NA,1
107,2008,0,0
107,2010,0,0
107,2011,0,0
107,2012,0,0
107,2013,0,0
107,2014,0,0
108,2008,NA,1
108,2010,0,0
108,2011,NA,1
108,2012,NA,1
108,2013,NA,1
108,2014,0,0
109,2008,0,0
109,2010,0,0
109,2011,NA,1
109,2012,0,0
109,2013,0,0
