ITU_names;WB_names;Google_names;CountryCode
Saudi Arabia;Saudi Arabia;Saudi Arabia;173
Senegal;Senegal;Senegal;174
Serbia;Serbia;Serbia;175
Seychelles;Seychelles;Seychelles;176
Sierra Leone;Sierra Leone;Sierra Leone;177
Singapore;Singapore;Singapore;178
Slovakia;Slovak Republic;Slovakia;179
Slovenia;Slovenia;Slovenia;180
Solomon Islands;Solomon Islands;Solomon Islands;181
Somalia;Somalia;Somalia;182
South Africa;South Africa;South Africa;183
South Sudan;South Sudan;;184
Spain;Spain;Spain;185
Sri Lanka;Sri Lanka;Sri Lanka;186
St. Helena;;;187
St. Kitts and Nevis;St. Kitts and Nevis;;188
St. Lucia;St. Lucia;Saint Lucia;189
St. Pierre & Miquelon;;St. Pierre and Miquelon;190
St. Vincent and the Grenadines;St. Vincent and the Grenadines;;191
Sudan;Sudan;Sudan;192
Suriname;Suriname;Suriname;193
Swaziland;Swaziland;Swaziland;194
Sweden;Sweden;Sweden;195
Switzerland;Switzerland;Switzerland;196
Syria;Syrian Arab Republic;Syria;197
Taiwan; Province of China;Taiwan;198
Tajikistan;Tajikistan;Tajikistan;199
Tanzania;Tanzania;Tanzania;200
TFYR Macedonia;Macedonia, FYR;;201
Thailand;Thailand;Thailand;202
Timor-Leste;Timor-Leste;Timor-Leste;203
Togo;Togo;Togo;204
Tokelau;;;205
Tonga;Tonga;Tonga;206
Trinidad & Tobago;Trinidad and Tobago;Trinidad and Tobago;207
Tunisia;Tunisia;Tunisia;208
Turkey;Turkey;Turkey;209
Turkmenistan;Turkmenistan;Turkmenistan;210
Turks & Caicos Is.;Turks and Caicos Islands;;211
Tuvalu;Tuvalu;;212
Uganda;Uganda;Uganda;213
Ukraine;Ukraine;Ukraine;214
United Arab Emirates;United Arab Emirates;United Arab Emirates;215
United Kingdom;United Kingdom;United Kingdom;216
United States;United States;United States;217
Uruguay;Uruguay;Uruguay;218
Uzbekistan;Uzbekistan;Uzbekistan;219
Vanuatu;Vanuatu;Vanuatu;220
Vatican;;;221
Venezuela;Venezuela, RB;Venezuela;222
Viet Nam;Vietnam;Viet Nam;223
Virgin Islands (US);Virgin Islands (U.S.);Virgin Islands (U.S.);224
Wallis and Futuna;;;225
Yemen;Yemen, Rep.;Yemen;226
Zambia;Zambia;Zambia;227
Zimbabwe;Zimbabwe;Zimbabwe;228
